url,logo,emails,phone_numbers,postal_codes,locations,person_names,organization_names
https://www.jobs.nhs.uk/candidate/jobadvert/E0314-25-0385?searchFormType=main&keyword=locum%20paramedic&language=,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,Zayd.Fahimuddin@practiceplusgroup.com,,GL12 8DB,"Gloucester, Date",,"Health, BETA, Google Analytics, m, Para, Justice, NHS, ic Practice Plus Group"
https://www.nhsbsa.nhs.uk/our-policies/accessibility/accessibility-statement-nhs-jobs-applicants,https://www.nhsbsa.nhs.uk/core/misc/favicon.ico,"accessibility@nhsbsa.nhs.uk, nhsbsa.nhsjobs@nhsbsa.nhs.uk",,,,,"V, Student Services, NVDA, Social Care Enforcement NHS, Health Co, NHS, NHS Jobs, Scheme NHS Pensions NHS Prescription Services NHS, Overseas Healthcare Services, NHS and Social Care, Services Electronic Staff, Home England In, Data Science NHSBSA Workforce Services, ann, rance, NHS Business Services Authority, Blood Support Scheme Data Services NHS Dental Services NHS Help, Voice Control, NHS In, NHSBSA, AbilityNet, NHS Job, Dragon, VoiceOver, E, NHSBS"
https://www.jobs.nhs.uk/candidate/search/save-job/M0042-25-0036,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,,,,"Google Analytics, Crown, NHS Jobs, B"
https://www.jobs.nhs.uk/candidate/search/save-job/A2715-01-23-2025,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,,,,"Google Analytics, Crown, NHS Jobs, B"
https://www.jobs.nhs.uk/candidate/acceptable-use,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,,United Kingdom,,"BETA, Google Analytics, NHS Jobs Service, NHS, NHS Business Services Authority, NHS Jobs"
https://www.jobs.nhs.uk/candidate/jobadvert/A1797-25-0043270125?searchFormType=main&keyword=locum%20paramedic&language=,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,recruitment@omneshealthcare.co.uk,,PE21 8EG,"Boston, Date",,"BETA, AN, Google Analytics, Ambulance Service, Paramedic Omnes Healthcare Limited, NHS, Omnes Healthcare"
https://www.jobs.nhs.uk/candidate/search/results?searchFormType=main&keyword=locum%20paramedic&language=en#maincontent,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,"PO15 7LB, SS8 0PR, RH6 0PQ, PO15 6JF, HX1 2ES, HP8 4QG, PE21 8EG, GU22 7HS, HX1 4JG, SL9 9RR, GL12 8DB, HX1 3LW, NN8 2NX, PO14 4EH","Halifax, Fareham, Woking, Alliance, Boston, Wellingborough, Date, March",,"Google Analytics, JOBREF, Cy, NHS, Professional Scientific & Technical Administrative & Clerical Allied Health Professionals Estates & Ancillary Healthcare Scientists Medical & Dental Nursing & Midwife, NHS Business Services Authority"
https://www.jobs.nhs.uk/candidate/search/save-job/A1797-25-0043270125,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,,,,"Google Analytics, Crown, NHS Jobs, B"
https://www.jobs.nhs.uk/candidate/jobadvert/B0468-25-0004?searchFormType=main&keyword=locum%20paramedic&language=,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,sudheer.shabir2@nhs.net,,"HX1 3LW, HX1 4JG, HX1 2ES","Alliance, Halifax, Date",,"dale, BETA, Google Analytics, Pennine GP Alliance, Alliance, PCN, NHS"
https://www.jobs.nhs.uk/candidate/auth/register/first-last-name,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,,,,"NHS, Google Analytics, BET, Crown"
https://www.jobs.nhs.uk/candidate,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,nhsbsa.nhsjobs@nhsbsa.nhs.uk,,,,,"Facebook, NHS Digital NHS England, NHS Health Career, BET, NHS Job, Google Analytics, NHS, NHS Jobs"
https://www.jobs.nhs.uk/candidate/cookies,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,,,,"NHS Job, BETA, Google, Google Analytics, Google Ana, tics, NHS, NHS Jobs"
https://www.jobs.nhs.uk/candidate/search/save-job/E0314-25-0615,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,,,,,,"Google Analytics, Crown, NHS Jobs, B"
https://www.jobs.nhs.uk/candidate/jobadvert/A1583-25-0002b?searchFormType=main&keyword=locum%20paramedic&language=,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,sarah.cursons@nhs.net,,"PO15 6JF, PO15 7LB, PO14 4EH","Fareham, Date",,"BETA, MHP, HP, Google Analytics, Meon Health Practice, NHS, M, The Highlands Practice, Complex Care Team"
https://www.jobs.nhs.uk/candidate/jobadvert/E0314-25-0620?searchFormType=main&keyword=locum%20paramedic&language=,https://www.jobs.nhs.uk/nhsuk-frontend/packages/assets/favicons/favicon.ico,Zayd.Fahimuddin@practiceplusgroup.com,,GL12 8DB,"Gloucester, Date",,"Health, BETA, Google Analytics, m, Para, Justice, NHS, ic Practice Plus Group"
